Age,Sex,Category,2018,2019,2020,2021,2022,2023
55-64,Women,Paintings,41.0,40.0,31.0,36.0,39.0,38.0
55-64,Women,Sculptures,19.0,22.0,16.0,20.0,21.0,21.0
55-64,Women,Craft work,21.0,23.0,18.0,21.0,20.0,22.0
55-64,Women,Design,14.0,18.0,17.0,16.0,16.0,18.0
55-64,Women,Photography,14.0,17.0,15.0,16.0,15.0,16.0
55-64,Women,Installation art,4.0,5.0,4.0,5.0,6.0,7.0
55-64,Women,Video art,2.0,2.0,3.0,2.0,3.0,4.0
55-64,Women,Performance,1.0,1.0,2.0,2.0,2.0,2.0
55-64,Women,Other,3.0,2.0,3.0,4.0,4.0,4.0
55-64,Women,None,50.0,51.0,59.0,54.0,52.0,51.0
65-74,Men,Paintings,33.0,34.0,28.0,32.0,32.0,32.0
65-74,Men,Sculptures,15.0,15.0,13.0,14.0,17.0,16.0
65-74,Men,Craft work,12.0,13.0,10.0,12.0,9.0,12.0
65-74,Men,Design,8.0,9.0,11.0,12.0,10.0,11.0
65-74,Men,Photography,10.0,12.0,12.0,14.0,14.0,12.0
65-74,Men,Installation art,3.0,3.0,2.0,4.0,4.0,4.0
65-74,Men,Video art,1.0,1.0,1.0,3.0,2.0,2.0
65-74,Men,Performance,1.0,1.0,1.0,2.0,2.0,2.0
65-74,Men,Other,3.0,4.0,3.0,3.0,2.0,4.0
65-74,Men,None,59.0,60.0,67.0,61.0,62.0,60.0
65-74,Women,Paintings,43.0,41.0,33.0,40.0,42.0,44.0
65-74,Women,Sculptures,22.0,20.0,15.0,20.0,21.0,22.0
65-74,Women,Craft work,21.0,23.0,19.0,22.0,26.0,24.0
65-74,Women,Design,13.0,18.0,15.0,18.0,19.0,17.0
65-74,Women,Photography,9.0,13.0,11.0,13.0,14.0,16.0
65-74,Women,Installation art,4.0,3.0,3.0,4.0,4.0,6.0
65-74,Women,Video art,1.0,2.0,1.0,2.0,3.0,2.0
65-74,Women,Performance,1.0,1.0,1.0,1.0,1.0,2.0
65-74,Women,Other,3.0,4.0,3.0,4.0,4.0,4.0
65-74,Women,None,49.0,50.0,59.0,48.0,48.0,48.0
+75,Men,Paintings,32.0,31.0,28.0,31.0,34.0,31.0
+75,Men,Sculptures,13.0,16.0,14.0,13.0,14.0,14.0
+75,Men,Craft work,9.0,12.0,11.0,10.0,14.0,12.0
+75,Men,Design,6.0,9.0,10.0,10.0,12.0,11.0
+75,Men,Photography,8.0,10.0,11.0,11.0,12.0,9.0
+75,Men,Installation art,1.0,3.0,2.0,2.0,2.0,2.0
+75,Men,Video art,2.0,2.0,2.0,2.0,1.0,2.0
+75,Men,Performance,1.0,1.0,1.0,1.0,0.0,1.0
+75,Men,Other,4.0,3.0,5.0,3.0,4.0,4.0
+75,Men,None,61.0,60.0,63.0,59.0,58.0,60.0
+75,Women,Paintings,38.0,34.0,26.0,36.0,40.0,43.0
+75,Women,Sculptures,15.0,16.0,12.0,17.0,20.0,20.0
+75,Women,Craft work,16.0,16.0,15.0,19.0,19.0,24.0
+75,Women,Design,9.0,11.0,12.0,13.0,16.0,17.0
+75,Women,Photography,6.0,8.0,8.0,9.0,10.0,11.0
+75,Women,Installation art,2.0,3.0,2.0,1.0,3.0,4.0
+75,Women,Video art,1.0,1.0,1.0,0.0,2.0,2.0
+75,Women,Performance,0.0,2.0,1.0,0.0,2.0,1.0
+75,Women,Other,3.0,4.0,2.0,3.0,3.0,4.0
+75,Women,None,55.0,59.0,66.0,57.0,51.0,48.0
